Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Team
"Istituto Ortopedico Rizzoli Departmentof Muscolo- ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"massimo.abate@ior.it",Work,"+93-051-636-6990",Work Fax,"undefined",Work,"Istituto Ortopedico Rizzoli Departmentof Muscolo- Skeletal Oncology Via Pupilli 1 40136 Bologna","Istituto Ortopedico Rizzoli Departmentof Muscolo- ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=453&team=1",team,"Abate, Massimo-Cesari, Marilena-Palmerini, Emanuela-Boschi, Rita-Marchesi, Emanuela"
"Azienda Ospedaliero Universitaria Policlinico S. O",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"tmoped@aosp.it",Work,"39-051-636-4664",Work Fax,"39-051-346-4664",Work,"Azienda Ospedaliero Universitaria Policlinico S. Orsola- Malpighi Bologna Via Albertoni 15 40138 Bologna","Azienda Ospedaliero Universitaria Policlinico S. O",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=790&team=1",team,"Pession, Andrea-Prete, Arcangelo-Rondelli, Roberto-DiLeo, Korinne-Melchionda, Fraia-Franzoni, Monica-Massetti, Riccardo-Brazzini, Valentina"
"Hospital San Maurizio Dept.of Hematology- BMT Unit",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"emat@asbz.it",Work,"39-0471-908-807/-699",Work Fax,"39-0471-908-703",Work,"Hospital San Maurizio Dept.of Hematology- BMT Unitvia Lorenz Boehler 5 39100 Bolzano","Hospital San Maurizio Dept.of Hematology- BMT Unit",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=299&team=1",team,"Cortelazzo, Sergio-Casini, Marco-Pinna, Andrea-Cavattoni, Irene-Marabese, Alessandra-Deoola, Sara"
"Spedali Civili- Brescia Hematology Division Depart",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"rossig@med.unibs.it",Work,"39-030-399-5438",Work Fax,"39-030-3700852",Work,"Spedali Civili- Brescia Hematology Division Department of Medical Oncology Piazzale Spedali Civili 1 25100 Brescia","Spedali Civili- Brescia Hematology Division Depart",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=288&team=1",team,"Rossi, Giuseppe-Morello, Enrico-Re, Alessandro-Fenotti, Cristina-Cavalli, Lara"
"Universitádegli Studidi Brescia Clinica Pediatrica",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"fulvio.porta@gmail.com",Work,"39-030-399-5715",Work Fax,"39-030-338-8099",Work,"Universitádegli Studidi Brescia Clinica Pediatrica Spedali Civili, P.le Spedali Civili 25123 Brescia","Universitádegli Studidi Brescia Clinica Pediatrica",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=741&team=1",team,"Porta, Fulvio-Notarangelo, LuigiD.-Mazzolari, Evelina-Lanfranchi, Arnalda-Gulino, Virginia-Grassi, Veronica"
"Perrino Hospital Dept.of Ha 0 Brindisi",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"",Work,"39-0831537507",Work Fax,"39-0831-537-613",Work,"Perrino Hospital Dept.of Ha 0 Brindisi","Perrino Hospital Dept.of Ha 0 Brindisi",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=920&team=1",team,"Quarta, Giovanni-Loseto, Giacomo-Mele, Giuseppe"
"Azienda Ospedaliera Ospedale di circolodi Busto Ar",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"mbregni@aobusto.it",Work,"+390331699489",Work Fax,"+390331699295",Work,"Azienda Ospedaliera Ospedale di circolodi Busto Arsizio Oncologia Medica Piazza Solaro No 3 21052 Busto Arsizio","Azienda Ospedaliera Ospedale di circolodi Busto Ar",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=927&team=1",team,"Bregni, Marco-Landoni, Carlo-Crovetti, Giovanni-Bertolli, Vanda-LaTargia, Maria-Sprocati, Patrizia"
"Solid Tumours Working Party Azienda Ospedaliera Os",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"mbregni@milanocuore.eu",Work,"+390331699489",Work Fax,"+390331699295",Work,"Solid Tumours Working Party Azienda Ospedaliera Ospedale di Circolo di Busto Arsizio Oncologia Medica Piazza Solaro No 3 21052 Busto Arsizio","Solid Tumours Working Party Azienda Ospedaliera Os",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=8412&team=1",team,"Bregni, Marco-Bay, Jacques-Olivier-Badoglio, Manuela"
"Ospedale A. Businco Cagliari Haematology Transplan",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"emnang@tin.it",Work,"+39-070-6095312",Work Fax,"+39-070-609-5312",Work,"Ospedale A. Businco Cagliari Haematology Transplant Centre Wilma Deplano Via Jenner 09121 Cagliari","Ospedale A. Businco Cagliari Haematology Transplan",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=791&team=1",team,"Angelucci, Emanuele-Baronciani, Donatella-Depau, Cristina-Piras, Alba-Culurgioni, Fabio-Zucca, Silvia"
"Adultand Paediatric Transplant Centre Centro trapi",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"lanasa@tiscali.it",Work,"39-070-609-2800/1",Work Fax,"39-070-609-2936",Work,"Adultand Paediatric Transplant Centre Centro trapianti di Midollo Osseo P. O. R. Binaghi Vials Guadazzonis, 3 09126 Cagliari","Adultand Paediatric Transplant Centre Centro trapi",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=811&team=1",team,"LaNasa, Giorgio-Vacca, Adriana-Corrias, Stefano-Koopmans, AnnaMaria"
"Paediatric Transplant Centre Centro trapianti di M",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ca2tmo@mcweb.unica.it",Work,"",Work Fax,"undefined",Work,"Paediatric Transplant Centre Centro trapianti di Midollo Osseo Ospedale Microcitemico Via Edward Jenners/n 09121 Cagliari","Paediatric Transplant Centre Centro trapianti di M",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=811&team=2",team,"Orofino, MariaGrazia-Cau, Paola-Addari, MariaCarmen"
"Ospedale Ferrarotto Divisione Clinicizzatadi Emato",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"giuseppe.milone@gmail.com",Work,"39-095-743-5913/6102",Work Fax,"39-095-743-5913",Work,"Ospedale Ferrarotto Divisione Clinicizzatadi Ematologia BMT Unit Via S. Citelli 6 95100 Catania","Ospedale Ferrarotto Divisione Clinicizzatadi Emato",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=792&team=1",team,"Milone, Giuseppe-Salvatorre, Leotta-Spadaro, Andrea"
"Unità Operativa Di Medicina Interna Via P. Ginevri",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ricentu@tin.it",Work,"+390733823065",Work Fax,"+390733823390",Work,"Unità Operativa Di Medicina Interna Via P. Ginevri, 1 62012 Civitanove Marche","Unità Operativa Di Medicina Interna Via P. Ginevri",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=419&team=1",team,"Centurioni, Riccardo-Tassetti, Angela-Minnucci, Luisa-Mirabile, Milena-Ferranti, Caterina-Sabbatini, Francesco"
"Sez. Ematologia- Centro Trapianti Midollo Osseo, M",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"f.lanza@ospedale.cremona.it",Work,"39-0372-405-613/408-105",Work Fax,"39-0372-405-655",Work,"Sez. Ematologia- Centro Trapianti Midollo Osseo, Medicina II Viale Concordia 1 26100 Cremona","Sez. Ematologia- Centro Trapianti Midollo Osseo, M",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=226&team=1",team,"Lanza, Francesco-Spedini, Pierangelo-Tajana, Monica-Mauro, Endri-Pagliari, Donatella-Pasini, Annalisa"
"Az. Ospedaliera S. Crocee Carle Division of Hemato",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ematologia@ospedale.cuneo.it",Work,"39-0171-641-070/642414",Work Fax,"+390171642937",Work,"Az. Ospedaliera S. Crocee Carle Division of Hematology Via Coppino 26 12100 Cuneo","Az. Ospedaliera S. Crocee Carle Division of Hemato",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=606&team=1",team,"Gallamini, Andrea-Grasso, Mariella-Mordini, Nicola-Mattei, Daniele-Cavallo, Alda"
"Università di Ferrara St. Anna Hospital Hematology",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"cut@unife.it",Work,"39-0532-209-100",Work Fax,"39-0532-212-142",Work,"Università di Ferrara St. Anna Hospital Hematology Section Corso Giovecca 203 44100 Ferrara","Università di Ferrara St. Anna Hospital Hematology",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=330&team=1",team,"Cuneo, Antonio-Moretti, Sabrina-Rigolin, GianMatteo-Baruchello, Antonella"
"Ospedale di Careggi BMT Unit Departmentof Hematolo",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"alberto.bosi@unifi.it",Work,"390557947726",Work Fax,"390557947064",Work,"Ospedale di Careggi BMT Unit Departmentof Hematology 50134 Firenze","Ospedale di Careggi BMT Unit Departmentof Hematolo",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=304&team=1",team,"Bosi, Alberto-Guidi, Stefano-Lombardini, Letizia-Saccardi, Riccardo-Gozzini, Antonella-Nozzoli, Chiara-Galgano, Letizia-Bartolozzi, Benedetta"
"Azienda Ospedaliero Universitaria Meyer Department",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"m.arico@meyer.it",Work,"+39.55.566.2738",Work Fax,"+39.55.566.2746",Work,"Azienda Ospedaliero Universitaria Meyer Departmentof Paediatric Haematology Oncology Viale Pieraccini, 24 50139 Firenze","Azienda Ospedaliero Universitaria Meyer Department",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=304&team=2",team,"Aricò, Maurizio-Tintori, Veronica-Bambi, Franco-Caselli, Desiree-Brugnolo, Francesca-Frenos, Stefano-Netti, MariaGiovanna"
"Italian National BMT Registry- GITMO Ospedale San ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"rosi.oneto@gitmo.net",Work,"39-010-355-469",Work Fax,"39-010-355-583",Work,"Italian National BMT Registry- GITMO Ospedale San Martino USL13 Divisione di Ematologia Viale Benedetto XV 16132 Genova","Italian National BMT Registry- GITMO Ospedale San ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=8440&team=1",team,"Rambaldi, Alessandro-Bruno, Barbara-Camboni, Agnese-Oneto, Rosi"
"Università di Genova Dept.of Internal Medicine Via",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"fpatrone@unige.it",Work,"39-010-353-8952/8940",Work Fax,"39-010-353-8650/7976",Work,"Università di Genova Dept.of Internal Medicine Viale Benedetto X Vn.6 16132 Genova","Università di Genova Dept.of Internal Medicine Via",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=139&team=1",team,"Patrone, Franco-Ballestrero, Alberto-Gobbi, Marco"
"Ospedale San Martino Department of Haematology IIL",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"andrea.bacigalupo@hsanmartino.it",Work,"39-010-355-469",Work Fax,"39-010-355-583",Work,"Ospedale San Martino Department of Haematology IIL.go R. Benzi 10 16132 Genova","Ospedale San Martino Department of Haematology IIL",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=217&team=1",team,"Bacigalupo, Andrea-Dominietto, Alida-VanLint, M.T.-Lamparelli, Teresa-Gualandi, Francesca-Marmont, A.M.-Oneto, Rosi-Camboni, Agnese-Frau, Lucia"
"Institute G. Gaslini Largo G. Gaslini 5 16148 Geno",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"giorgiodini@ospedale-gaslini.ge.it",Work,"39-010-5636-715",Work Fax,"39-010-377-7133",Work,"Institute G. Gaslini Largo G. Gaslini 5 16148 Genova","Institute G. Gaslini Largo G. Gaslini 5 16148 Geno",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=274&team=1",team,"Dini, Giorgio-Gazzolo, Andrea-Lanino, Edoardo-Faraci, Maura-Morreale, Giuseppe-Dufour, Carlo-Giardino, Stefano-Simona, Calza-Cancedda, Roberta-Deiana, Marco"
"Azienda Ospedaliera Universitaria San Martino Mono",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"angelomichele.carella@hsanmartino.it",Work,"+39.010.513731",Work Fax,"+39.010.5556891",Work,"Azienda Ospedaliera Universitaria San Martino Monoblocco 11- Ponente Largo Rosanna Benzi, 10 16132 Genova","Azienda Ospedaliera Universitaria San Martino Mono",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=987&team=1",team,"Carella, AngeloMichele-Congiu, AngelaGiovanna-Nati, Sandro-Capurro, Mara-Congiu, AngelaGiovanna"
"Ospedale Santa Maria Goretti Ematologia Via Canova",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"emato@online.latina.it",Work,"+39-0773-655-3710",Work Fax,"+39-0773-655-3718",Work,"Ospedale Santa Maria Goretti Ematologia Via Canova 04100 Latina","Ospedale Santa Maria Goretti Ematologia Via Canova",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=379&team=1",team,"DeBlasio, Angelo-Zappone, Elisabetta-OrtulaBarbera, Elettra-Caratelli, Patrizia-Coppetelli, Ugo"
"Ospedale Vito Fazzi Haematology&amp; Stem Cell Tra",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"nicola.direnzo@fastwebnet.it",Work,"+390832661922/+39083266104",Work Fax,"+390832661923",Work,"Ospedale Vito Fazzi Haematology&amp; Stem Cell Transplant Unit Piazza F. Muratore, 1c 73100 Lecce","Ospedale Vito Fazzi Haematology&amp; Stem Cell Tra",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=868&team=1",team,"DiRenzo, Nicola-Forese, Pasquale-Pennese, Elsa-Perrone, Stefano-Matera, Rosella"
"Istituto Scientifico Romagnolo per lo Studio e la ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"francesca.fabbri@irst.emr.it",Work,"39-0543-739100",Work Fax,"39-0543-739290",Work,"Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori( IRST) Via Piero Maroncelli, 40 47014 Meldola","Istituto Scientifico Romagnolo per lo Studio e la ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=298&team=1",team,"DeGiorgi, Ugo-Fattori, PierPaolo-Migliori, Giuseppe-Brolli, Claudia-Bragagni, Marina-Fabbri, Francesca"
"Policlinico Universitàrio Messina Oncology- Pathol",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"vpitini@unime.it",Work,"39-90-221-3249",Work Fax,"39-90-221-3231",Work,"Policlinico Universitàrio Messina Oncology- Pathology- Blood Center Oncologia- Medica, Pad. H5ºpiano Via Consolare Valeria 98125 Messina","Policlinico Universitàrio Messina Oncology- Pathol",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=669&team=1",team,"Pitini, Vincenzo-Siracusano, Luca-Arrigo, Carmela"
"Ospedale Maggiore di Milano IRCCS Via Fransesco Sf",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"agostino.cortelezzi@unimi.it",Work,"39-02-5503-3322",Work Fax,"39-02-5503-3341",Work,"Ospedale Maggiore di Milano IRCCS Via Fransesco Sforza, 35 20122 Milano","Ospedale Maggiore di Milano IRCCS Via Fransesco Sf",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=265&team=1",team,"Cortelezzi, Agostino-Onida, Francesco-Annaloro, Claudio-Ottani, Laura-Tagliaferri, Elena"
"Ospedale Fatebenefratellie Oftalmico Div. Oncologi",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"progetto.umana@fbf.milano.it",Work,"39-02-6363-2223",Work Fax,"39-02-6363-2216",Work,"Ospedale Fatebenefratellie Oftalmico Div. Oncologia Medicae Chemioterapia Corsodi Porta Nuova 23 20121 Milano","Ospedale Fatebenefratellie Oftalmico Div. Oncologi",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=269&team=1",team,"Farina, Gabriella-Bianchi, Celso-Pedretti, Donata-Bianchi, Celso"
"Ospedale di Niguarda Ca Granda Hematology Departme",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"enrica.morra@ospedaleniguarda.it",Work,"39-02-6444-2668",Work Fax,"39-02-6444-2033",Work,"Ospedale di Niguarda Ca Granda Hematology Department Piazza Ospedale Maggiore 3 20162 Milano","Ospedale di Niguarda Ca Granda Hematology Departme",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=294&team=1",team,"Morra, Enrica-Marenco, Paola-Grillo, Giovanni-Gianpiera, Lanzo"
"European Institute of Oncology Via Ripamonti, 435 ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"giovanni.martinelli@ieo.it",Work,"39-02-5748-9538/9640",Work Fax,"39-02-57489537",Work,"European Institute of Oncology Via Ripamonti, 435 20141 Milano","European Institute of Oncology Via Ripamonti, 435 ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=331&team=1",team,"Martinelli, Giovanni-Pastano, Rocco-Laszlo, Daniele-Gigli, Federica-Gardellini, Angelo-Sammassimo, Simona-Clerici, Margherita-Orlando, Laura-Liptrott, Sarah-Calabrese, Liliana"
"Istituto Clinico Humanitas Transplantation Unit De",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"luca.castagna@cancercenter.humanitas.it",Work,"39-02-8224-4587",Work Fax,"39-02-8224-4590",Work,"Istituto Clinico Humanitas Transplantation Unit Departmentof Oncologyand Haematology Via Manzoni 56 20089 Rozzano Milano","Istituto Clinico Humanitas Transplantation Unit De",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=354&team=1",team,"Castagna, Luca-Santoro, Armando-Bramanti, Stefania-Sarina, Barbara-Garofalo, Elena-Mauro, Elisa"
"Università di Milano Istituto Nazionale dei Tumori",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"paolo.corradini@unimi.it",Work,"00-39-022-390-2950",Work Fax,"00-39-022-390-2908",Work,"Università di Milano Istituto Nazionale dei Tumori Hematology- Bone Marrow Transplantation Unit Via Venezian, 1 20133 Milano","Università di Milano Istituto Nazionale dei Tumori",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=616&team=1",team,"Corradini, Paolo-Gianni, Alessandro-Magni, Michele-Luksch, Roberto-Montefusco, Vittorio-Saracino, Lucia-Matteucci, Paola"
"S. Carlo Borromeo Hospital Oncology Department Via",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"Tedeschi.Lucilla@sancarlo.mi.it",Work,"39-024-022-2255",Work Fax,"39-024-022-2323",Work,"S. Carlo Borromeo Hospital Oncology Department Via Pio II, 3 20153 Milano","S. Carlo Borromeo Hospital Oncology Department Via",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=683&team=1",team,"Tedeschi, Lucilla-Romanelli, Antonella-Vinci, Maria-Pagani, Giada"
"San Raffaele Scientific Institute Haematology and ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ciceri.fabio@hsr.it",Work,"39-02-264-339-03",Work Fax,"39-02-264-347-60",Work,"San Raffaele Scientific Institute Haematology and BMT Via Olgettina 60 20132 Milano","San Raffaele Scientific Institute Haematology and ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=813&team=1",team,"Ciceri, Fabio-Peccatori, Jacopo-Marcatti, Magda-Bernardi, Massimo-Corti, Consuelo-Marktel, Sarah-Fleischhauer, Katharina-Matozzo, Vincenzo-Trinca, Stefania"
